library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,2,7299,10567200,bf16,True,,3.9751360416412354,0.011850881459523434,7.427296161651611,0.040070644023116,117.96992,163.7888,192.937984,981.3007820839902
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,4,18984,10567200,bf16,True,,5.209823846817017,0.02430129404507294,12.52353572845459,0.02657296597315267,180.376064,369.988608,392.167424,1515.0843193377339
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,8,30392,10567200,bf16,True,,6.07585597038269,0.01886555843620041,16.394448280334473,0.07303421205239864,226.329088,524.727296,576.7168,1853.0181511610285
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,16,56700,10567200,bf16,True,,7.947232007980347,0.02030376474951098,26.085423469543457,0.0626263803584572,333.390848,873.106944,937.426944,2174.0016946125625
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,1,4690,61061952,bf16,True,,5.869103908538818,0.015781517998600943,13.106288433074951,0.014513489707048037,545.786368,600.593408,654.311424,357.7838361376672
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,2,7299,61061952,bf16,True,,6.791183948516846,0.015233515774841767,16.20945644378662,0.026053580104134565,560.247296,652.530176,780.140544,450.4513293175145
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,4,18984,61061952,bf16,True,,12.19217586517334,0.03796492957490577,36.53607940673828,0.13954637745839882,657.025536,1148.505088,1304.428544,519.1646872045145
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,8,30392,61061952,bf16,True,,15.97377634048462,0.053412692888477616,51.530975341796875,0.08442850224970982,721.094656,1524.599808,1610.612736,589.7532279632293
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,16,56700,61061952,bf16,True,,23.831088066101074,0.07458005870798641,87.31550598144531,0.15458367378784965,882.445312,2382.564352,2506.09664,649.4268481508217
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,1,4690,1467216,bf16,True,,1.2518720030784607,0.007882709546708716,2.7180479764938354,0.024229044451941097,37.161984,110.548992,127.926272,1719.8598532610415
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,2,7299,1467216,bf16,True,,1.2923040390014648,0.01295526588636773,2.8645761013031006,0.012808827171315727,49.473024,135.151616,165.675008,2545.206251893157
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,4,18984,1467216,bf16,True,,1.8740000128746033,0.030931455332013653,4.487648010253906,0.0140974587495028,137.406976,295.958016,354.418688,4231.32029606155
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,8,30392,1467216,bf16,True,,2.249184012413025,0.00494655559255362,5.729696035385132,0.019213631575776102,200.496128,413.54752,528.482304,5300.3129037986955
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,16,56700,1467216,bf16,True,,3.88809597492218,0.0208948792914575,9.265055656433105,0.029236042571927977,344.295936,710.749696,811.597824,6125.643347814447
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,1,4690,10567200,bf16,True,,3.8831679821014404,0.006440532706709439,8.89192008972168,0.013793907768738846,121.259008,398.85824,650.11712,527.3031980134394
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,2,7299,10567200,bf16,True,,4.312256097793579,0.0076317745209423865,10.240607738494873,0.01840427216334711,139.486208,450.322432,505.413632,712.9634199307766
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,4,18984,10567200,bf16,True,,9.370399951934814,0.14563739524115124,21.60792064666748,0.14263550693866395,269.868032,858.337792,970.981376,879.3726104930423
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,8,30392,10567200,bf16,True,,12.125711917877197,0.051070348365664354,28.963056564331055,0.09471577112409298,362.993152,1149.542912,1337.982976,1048.8720852607094
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,16,56700,10567200,bf16,True,,20.80408000946045,0.10990254774755188,47.5379695892334,0.14437424787014755,577.67168,1828.374528,2139.09504,1192.0472497608516
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,1,4690,61061952,bf16,True,,12.010591983795166,0.013636570447847158,33.403648376464844,0.05939998321621579,554.98752,1574.964224,2300.575744,140.43327727246066
