library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,1,4690,10567200,bf16,True,,10.142208099365234,0.058042188837297934,18.013184547424316,0.16889479229651927,107.776512,134.833152,155.189248,260.8403377889394
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,2,7299,10567200,bf16,True,,10.201600074768066,0.055815948373134305,18.29631996154785,0.5029299797721306,117.96992,163.7888,192.937984,398.4710422744742
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,4,18984,10567200,bf16,True,,10.93785572052002,0.22213487626901512,20.132351875305176,0.10907656160652349,180.376064,369.988608,392.167424,941.9776705179189
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,8,30392,10567200,bf16,True,,11.770368099212646,0.06625292347436565,26.025983810424805,0.08994715446609063,226.329088,524.727296,576.7168,1168.0026633378006
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,16,56700,10567200,bf16,True,,14.279168128967285,0.06784834958448598,40.07270431518555,0.16363445429157183,333.390848,873.106944,937.426944,1414.2801124861364
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,1,4690,61061952,bf16,True,,13.284863948822021,0.035432014387783387,23.751168251037598,0.8502754357058004,545.786368,600.593408,654.311424,195.4439065053968
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,2,7299,61061952,bf16,True,,14.078464031219482,0.055672641508870795,26.28761577606201,0.28699125951029286,560.247296,652.530176,780.140544,277.14035079935064
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,4,18984,61061952,bf16,True,,20.114943504333496,0.08188162764583276,53.54547309875488,0.1349118950551202,657.025536,1148.505088,1304.428544,354.5990072237289
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,8,30392,61061952,bf16,True,,26.092543601989746,0.10358656429695363,77.46099090576172,0.27846357243724,721.094656,1524.599808,1610.612736,392.20835798483716
spconv,spconv-cu124 2.3.8,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,16,56700,61061952,bf16,True,,40.06707191467285,0.5351901658612579,131.75603485107422,0.6932869259202332,882.445312,2382.564352,2506.09664,429.82081904107383
